rank,vehicle_id,query_views_fused,query_img,gallery_imgs,similarity
1,0065,1,0065_c001_00064630_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
2,0065,2,0065_c002_00063040_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9965
3,0065,3,0065_c003_00060250_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
4,0065,4,0065_c004_00060105_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9989
5,0065,5,0065_c006_00061310_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9991
6,0065,6,0065_c008_00059930_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
7,0065,7,0065_c009_00059990_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9980
8,0065,8,0065_c010_00061240_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9978
9,0065,9,0065_c011_00061315_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
10,0065,10,0065_c012_00065115_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
11,0065,11,0065_c013_00064960_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9983
12,0065,12,0065_c014_00067520_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9983
13,0065,13,0065_c015_00067315_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
14,0065,14,0065_c016_00068390_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9984
15,0065,15,0065_c017_00065800_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9985
16,0065,16,0065_c019_00066085_0.jpg,0065_c001_00064630_0.jpg|0065_c001_00064630_0.jpg|0065_c016_00068355_0.jpg|0065_c001_00064630_0.jpg,0.9982
1,0066,1,0066_c001_00059990_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9887
2,0066,2,0066_c012_00059110_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9959
3,0066,3,0066_c013_00059200_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9914
4,0066,4,0066_c014_00056825_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9888
5,0066,5,0066_c015_00057085_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9908
6,0066,6,0066_c016_00055450_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9893
7,0066,7,0066_c017_00058360_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9921
8,0066,8,0066_c019_00058085_0.jpg,0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg|0066_c012_00059120_0.jpg,0.9904
1,0086,1,0086_c001_00079320_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9985
2,0086,2,0086_c012_00080055_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9953
3,0086,3,0086_c013_00079895_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9927
4,0086,4,0086_c014_00081915_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9937
5,0086,5,0086_c015_00081770_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9909
6,0086,6,0086_c016_00082225_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9908
7,0086,7,0086_c017_00080725_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9916
8,0086,8,0086_c019_00080940_0.jpg,0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg|0086_c001_00079335_0.jpg,0.9896
1,0104,1,0104_c001_00021440_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9996
2,0104,2,0104_c002_00019700_1.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9897
3,0104,3,0104_c003_00016995_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9873
4,0104,4,0104_c004_00016940_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9862
5,0104,5,0104_c006_00017875_1.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9850
6,0104,6,0104_c010_00017790_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9834
7,0104,7,0104_c011_00017820_1.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9842
8,0104,8,0104_c013_00021685_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9833
9,0104,9,0104_c018_00022470_0.jpg,0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg|0104_c001_00021435_0.jpg,0.9830
1,0122,1,0122_c001_00036500_0.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9694
2,0122,2,0122_c012_00036985_0.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9452
3,0122,3,0122_c013_00036865_0.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9765
4,0122,4,0122_c015_00038450_0.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9846
5,0122,5,0122_c016_00039735_0.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9891
6,0122,6,0122_c019_00037970_1.jpg,0122_c013_00036840_0.jpg|0122_c015_00038460_0.jpg|0122_c016_00039710_0.jpg|0122_c013_00036840_0.jpg,0.9927
1,0129,1,0129_c014_00026710_1.jpg,0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg,1.0000
2,0129,2,0129_c015_00026705_1.jpg,0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg,0.9889
3,0129,3,0129_c017_00027580_0.jpg,0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg,0.9927
4,0129,4,0129_c019_00027405_0.jpg,0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg|0129_c014_00026710_1.jpg,0.9934
1,0134,1,0134_c001_00064795_1.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9469
2,0134,2,0134_c002_00063575_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9700
3,0134,3,0134_c003_00049335_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9829
4,0134,4,0134_c004_00049285_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9832
5,0134,5,0134_c005_00051340_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9771
6,0134,6,0134_c006_00047550_1.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9747
7,0134,7,0134_c007_00051615_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9693
8,0134,8,0134_c008_00049955_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9698
9,0134,9,0134_c009_00049775_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9740
10,0134,10,0134_c010_00061445_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9753
11,0134,11,0134_c011_00061670_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9784
12,0134,12,0134_c012_00065940_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9814
13,0134,13,0134_c013_00065515_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9818
14,0134,14,0134_c014_00070330_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9832
15,0134,15,0134_c015_00070000_1.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9837
16,0134,16,0134_c016_00071425_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9834
17,0134,17,0134_c017_00067610_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9841
18,0134,18,0134_c019_00068345_0.jpg,0134_c003_00060110_1.jpg|0134_c003_00060110_1.jpg|0134_c002_00000350_0.jpg|0134_c002_00000350_0.jpg,0.9843
1,0144,1,0144_c001_00029300_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,1.0000
2,0144,2,0144_c012_00027240_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,0.9980
3,0144,3,0144_c013_00027420_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,0.9960
4,0144,4,0144_c014_00024350_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,0.9935
5,0144,5,0144_c015_00024580_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,0.9949
6,0144,6,0144_c017_00026280_0.jpg,0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg|0144_c001_00029300_0.jpg,0.9959
1,0166,1,0166_c001_00038230_0.jpg,0166_c013_00038860_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg,0.9652
2,0166,2,0166_c013_00037090_0.jpg,0166_c013_00038860_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg,0.9912
3,0166,3,0166_c014_00035220_0.jpg,0166_c013_00038860_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg,0.9954
4,0166,4,0166_c016_00034905_1.jpg,0166_c013_00038860_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg,0.9949
5,0166,5,0166_c017_00036360_0.jpg,0166_c013_00038860_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg|0166_c013_00037090_0.jpg,0.9942
1,0273,1,0273_c001_00040670_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9800
2,0273,2,0273_c002_00039190_1.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9921
3,0273,3,0273_c003_00036590_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9942
4,0273,4,0273_c004_00036465_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9921
5,0273,5,0273_c006_00037765_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9916
6,0273,6,0273_c008_00036280_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9924
7,0273,7,0273_c009_00036350_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9938
8,0273,8,0273_c010_00037625_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9944
9,0273,9,0273_c011_00037785_1.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9947
10,0273,10,0273_c012_00041175_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9952
11,0273,11,0273_c013_00041050_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9950
12,0273,12,0273_c014_00000540_1.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9957
13,0273,13,0273_c015_00044265_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9956
14,0273,14,0273_c016_00045345_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9960
15,0273,15,0273_c017_00042500_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9956
16,0273,16,0273_c019_00042810_0.jpg,0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c010_00037615_0.jpg|0273_c012_00041180_0.jpg,0.9959
1,0281,1,0281_c001_00033830_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9848
2,0281,2,0281_c002_00031880_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9900
3,0281,3,0281_c003_00030185_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9952
4,0281,4,0281_c004_00030085_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9959
5,0281,5,0281_c006_00031000_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9960
6,0281,6,0281_c008_00029935_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9945
7,0281,7,0281_c009_00030010_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9933
8,0281,8,0281_c010_00030780_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9932
9,0281,9,0281_c011_00030970_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9946
10,0281,10,0281_c012_00034420_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9950
11,0281,11,0281_c013_00034275_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9947
12,0281,12,0281_c014_00037925_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9953
13,0281,13,0281_c015_00037740_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9948
14,0281,14,0281_c016_00039645_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9951
15,0281,15,0281_c017_00036150_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9950
16,0281,16,0281_c019_00036455_0.jpg,0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c003_00030185_0.jpg|0281_c014_00037945_0.jpg,0.9945
1,0296,1,0296_c001_00062155_0.jpg,0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg,0.9404
2,0296,2,0296_c002_00062820_0.jpg,0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg,0.9668
3,0296,3,0296_c012_00060375_0.jpg,0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg,0.9693
4,0296,4,0296_c013_00060505_1.jpg,0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg,0.9746
5,0296,5,0296_c014_00058475_0.jpg,0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg|0296_c016_00058220_1.jpg,0.9787
